Date,Time,Category,Action/Observation,Notes/Results,Nitrate(ppm),Dosing,ThrivePlus(pumps),WaterChange,tags,Image
2025-10-03,,Feeding,Fed: flakes only,Light day,,,,,,
2025-10-03,,Test,Water test · Nitrate: 10-20 ppm (≈20),Nitrate: 10-20 ppm (≈20),,,,,,
2025-10-06,,Dosing,Dosed: Seachem Excel — 2 capfuls,Dose at low water level during WC,,,,,,
2025-10-06,,Feeding,Fed: none,Skipped feeding due to late water change,,,,,,
2025-10-06,,Maintenance,Maintenance: Water change + plant trimming,Performed ~95% sump / ~80% display; removed dead/melted leaves,,,,,,
2025-10-06,,Test,Water test · Nitrate: 10-20 ppm (~20) — pre-water change,Nitrate: 10-20 ppm (~20) — pre-water change,,,,,,
2025-10-07,,Dosing,Dosed: Seachem Excel — 1 capful + spot dose,Method: spot + cap,,,,,,
2025-10-07,,Feeding,Fed: flakes + algae wafers,Veggie day deviation: included flakes,,,,,,
2025-10-08,,Dosing,Dosed: NilocG Thrive Plus — 4 pumps,Routine dose,,,,,,
2025-10-08,,Feeding,Fed: flakes + bloodworms,Small pinch flakes + ~2 spoonfuls bloodworms; Tag: heavy protein feeding,,,,,,
2025-10-09,,Dosing,Dosed: NilocG Thrive Plus — 4 pumps,Routine dose,,,,,,
2025-10-09,,Feeding,Fed: flakes + brine shrimp,Normal Thursday mix,,,,,,
2025-10-09,,Test,Water test · Nitrate: 5-10 ppm,Nitrate: 5-10 ppm,,,,,,
2025-10-10,,Feeding,Fed: flakes + brine shrimp + bloodworms,High-protein pre-trip feeding; lights extended ~2 hrs,,,,,,
2025-10-10,,Maintenance,Maintenance: Water change + refugium trim + light replanting,90% sump / 80% display; trimmed pothos in refugium; light replanting; no filter changes,,,,,,
2025-10-10,,Test,Water test · Nitrate: ~10 ppm — pre-water change,Nitrate: ~10 ppm — pre-water change,,,,,,
2025-10-14,,Dosing,Dosed: NilocG Thrive Plus — 4 pumps,Routine dose after fast,,,,,,
2025-10-14,,Feeding,Fed: flakes + bloodworms,Post-vacation recovery feeding,,,,,,
2025-10-14,,Test,Water test · Nitrate: 5-10 ppm,Nitrate: 5-10 ppm,,,,,,
2025-10-15,,Feeding,Fed: flakes + brine shrimp,Schedule adjustment: chose brine instead of bloodworms (bloodworms given yesterday),,,,,,
2025-10-15,,Test,Water test · Nitrate: ~10 ppm,Nitrate: ~10 ppm,,,,,,
2025-10-16,,Feeding,Fed: algae wafers + brine shrimp + bloodworms,Heavy mixed feeding (pre-light-day preparation),,,,,,
2025-10-16,,Test,Water test · Nitrate: 10-20 ppm (closer to 10),Nitrate: 10-20 ppm (closer to 10),,,,,,
2025-10-20,,Maintenance,Major maintenance cycle · WC ~90% sump / 70% display · Replaced filters · Added Poly-fil (support browned Purigen) · Trim & replant · Dosed Stability · Light feed: flakes + brine shrimp · Pre-Stocking Observation Week (Oct 20–27 2025),Performed extra maintenance to set a fresh baseline before adding new fish; monitoring through the Pre-Stocking Observation Week.,,,,,,
2025-10-21,,Feeding & Dosing,Fed algae wafers + small pinch flakes · Spot-dosed Seachem Excel · Skipped water test (<24h post-maintenance) · Pre-Stocking Observation Week (Oct 20–27 2025),"Most fish ignored wafers, so added a small pinch of flakes. Spot dose of Seachem Excel. Skipped testing since it’s within 24 hours of the major maintenance cycle; continuing baseline observations for Pre-Stocking Week.",,,,,,
2025-10-22,,"Feeding, Test & Dosing",Fed flakes + bloodworms · Nitrate 5 ppm · Spot-dosed Seachem Excel · 4 pumps fertilizer (2 with sump off → wait 15 min → 2 with sump on) · Pre-Stocking Observation Week (Oct 20–27 2025),"Fed flakes and bloodworms; nitrate tested at 5 ppm. Spot-dosed Seachem Excel, then dosed 4 pumps of fertilizer—2 with sump off, waited 15 minutes, then 2 with sump on. Continuing the Pre-Stocking Observation Week baseline period.",,,,,,
2025-10-23,,"Feeding, Test & Dosing",Fed flakes + brine shrimp · Nitrate 5–10 ppm (closer to 5) · 4 pumps fertilizer · Spot-dosed Seachem Excel + 1 capful · Pre-Stocking Observation Week (Oct 20–27 2025),Fed flakes and brine shrimp. Nitrate tested between 5–10 ppm (closer to 5). Dosed 4 pumps of fertilizer and spot-dosed Seachem Excel with an additional capful. Continuing the Pre-Stocking Observation Week baseline.,,,,,,
2025-10-26,,Maintenance & Dosing,Water change (~90% sump / ~75% display) · Trimmed dead leaves · Wiped glass with algae scraper · Dosed Seachem Excel (capful + spot) · Pre-Stocking Observation Week (Oct 20–27 2025),Performed ~90% sump and ~75% display water change. Trimmed dead and dying leaves and wiped the glass with the in-tank algae scraper. Dosed Seachem Excel (general capful and spot dose targeting remaining BBA on equipment). Continuing the Pre-Stocking Observation Week baseline observations.,,,,,,
2025-10-27,,"Feeding, Test & Dosing",Nitrate ≤ 5 ppm · Fed flakes + brine shrimp · Seachem Excel: spot dose + 1 cap (targeted random flow generator),Focused Excel on the random flow generator to clear remaining BBA before upcoming blog content. Continuing post-maintenance phase after the major water change.,,,,,,
2025-10-28,,"Feeding, Test & Dosing",Fed 3 algae wafers + small pinch flakes · Nitrate 5 ppm · 4 pumps Thrive fertilizer · No Excel dose · No water change,Ensured every fish ate the wafers and flakes mix. System remains stable and balanced following the recent maintenance cycle.,,,,,,
2025-10-29,,"Feeding, Test & Dosing",Fed flakes + bloodworms · Nitrate 10 ppm · 0 Thrive pumps · 1.5 caps Excel (spot + cap) · No water change,"Spot-dosed and cap-dosed Seachem Excel, targeting remaining BBA near the random flow generator. Amano shrimp observed grazing — signs of recovery and ecosystem balance.",,,,,,
2025-10-30,,"Feeding, Test & Dosing",Fed flakes + brine shrimp · Nitrate 18 ppm · 0 Thrive pumps · 1.5 caps Excel (spot + cap) · No water change,Spot- and cap-dosed Seachem Excel. Black beard algae around hardware has turned fully red — marking the start of Post-Treatment Recovery Week as the die-off phase begins and the tank stabilizes.,,,,,,
2025-10-31,,Feeding,Fed: flakes only (light portion) · End-of-week low-waste day,Continuing Post-Treatment Recovery Week.,,,,,,
2025-11-02,,Maintenance & Dosing,Pre-water-change nitrate test: 20–40 ppm (≈20). Performed ~95% sump / ~70% display water change + light trim. Spot- and cap-dosed Seachem Excel (post-change).,Continuing Post-Treatment Recovery Week. Noticed new plant growth emerging.,,,,,,
2025-11-03,,"Feeding, Dosing & Observation",Fed flakes and brine shrimp. Performed two spot doses of Seachem Excel for continued BBA control.,"Malaysian trumpet snails were observed naturally cleaning the sump overflow screen, preventing buildup — marking the “Natural Balance Discovery” milestone as the system begins showing signs of self-regulation during the Post-Treatment Recovery Week.",,Excel spot-dose x2,0,0,Post-Treatment Recovery Week; Natural Balance Discovery,assets/images/mts-on-strainer-2025-11-03.jpg
2025-11-04,,"Feeding, Test & Dosing",Nitrate <5 ppm · Fed algae wafers + flakes · Dosed 4 pumps NilocG Thrive Plus · Spot-dosed Seachem Excel,Nitrate tested under 5 ppm. Dosed 4 pumps of NilocG Thrive Plus and spot-dosed Seachem Excel. Fed algae wafers and a small amount of flakes to ensure all fish fed. Nutrient levels remain very low but stable as Post-Treatment Recovery Week continues.,<5,Excel spot-dose,4,0,"29g,feeding,dosing,testing,post-treatment-recovery-week",
2025-11-05,,Feeding & Dosing,Fed flakes + bloodworms · Spot-dosed Seachem Excel · No water change,Fed flakes and bloodworms. Spot-dosed Seachem Excel for light algae control. Fish feeding response strong; system remains stable through Post-Treatment Recovery Week.,,Excel spot-dose,0,0,"29g,feeding,dosing,post-treatment-recovery-week",
2025-11-06,,"Feeding, Test & Dosing",Nitrate 20 ppm · Fed flakes + brine shrimp · Spot-dosed Seachem Excel · No water change,Nitrate measured at 20 ppm. Fed flakes and brine shrimp. Spot-dosed Seachem Excel. The BBA that was near the random flow generator is now completely gone — marking the completion of the Post-Treatment Recovery Week and the successful end of the recovery cycle.,20,Excel spot-dose,0,0,"29g,feeding,dosing,testing,post-treatment-recovery-week",
2025-11-09,,Maintenance,Pre-water-change nitrate 40 ppm · ~90% sump / ~75% display water change · Added new poly-fil barrier,Pre-water-change nitrate test measured at 40 ppm. Performed ~90% sump and ~75% display water change. Added a new poly-fil barrier to prevent debris from entering the pump chamber and support continued water clarity and flow stabilization.,40,,0,~90% sump / ~75% display,"29g,maintenance,post-treatment-recovery-week",
2025-11-10,,Feeding,Fed flakes and brine shrimp. Standard Monday feeding with healthy appetite observed.,System remains stable following recent maintenance and filtration updates.,,,,,"29g,feeding",
2025-11-11,,"Feeding, Test & Dosing",Nitrate measured at 5 ppm. Fed algae wafers and flakes. Dosed Seachem Excel (1 capful) and NilocG Thrive Plus (4 pumps).,Stable parameters maintained through consistent nutrient and plant care routine.,5,Seachem Excel (1 capful),4,,"29g,feeding,testing,dosing",
2025-11-12,,"Feeding, Test & Dosing",Nitrate measured between 10–20 ppm (closer to 10). Fed flakes and bloodworms. Dosed one capful of Seachem Excel as part of the ongoing daily maintenance routine.,Nutrient levels stable and fish behavior normal.,10-20 (≈10),Seachem Excel (1 capful),,,"29g,feeding,testing,dosing",
2025-11-10,Feeding,“Fed flakes and brine shrimp. Standard Monday feeding with healthy appetite observed. System remains stable following recent maintenance and filtration updates.”
2025-11-11,Feeding, Test & Dosing,“Nitrate measured at 5 ppm. Fed algae wafers and flakes. Dosed Seachem Excel (1 capful) and NilocG Thrive Plus (4 pumps). Stable parameters maintained through consistent nutrient and plant care routine.”
2025-11-12,Feeding, Test & Dosing,“Nitrate measured between 10–20 ppm (closer to 10). Fed flakes and bloodworms. Dosed one capful of Seachem Excel as part of the ongoing daily maintenance routine. Nutrient levels stable and fish behavior normal.”
"2025-11-13","Feeding, Test, Dosing & Livestock Update","Nitrate remained between 10–20 ppm. Fed flakes and brine shrimp. Spot-dosed Seachem Excel for light algae control. Noted the loss of two long-time fish: the last of the original pencilfish (5+ years) and one original cherry barb of the same age. Losses appear age-related and consistent with natural lifespan."
"2025-11-17","Feeding, Test, Maintenance & Dosing","Fed flakes and brine shrimp. Nitrate tested around 40 ppm. Performed ~75% display and ~90% sump water change. Replaced Purigen and poly-fil, and removed excess poly-fil between the refugium and return pump to reduce flow restriction. Light plant trimming completed. Dosed Seachem Excel and Stability. Updated weekly fertilizer plan: switching to a single 4-pump Thrive dose this week instead of the usual 8-pump split routine."
2025-11-18,,Feeding,Fed algae wafers and flakes for veggie day,Fish responded well and feeding was consistent,,,,,"29g,feeding",
2025-11-19,,"Feeding, Test & Dosing",Fed flakes and bloodworms with spot and cap doses of Seachem Excel,Nitrate tested at 5 ppm. BBA nearly gone; only a small area remains in a sensitive plant zone so treatment is applied carefully to avoid damaging plant tissue,5,Seachem Excel (spot + cap),,,"29g,feeding,testing,dosing",
2025-11-20,,"Feeding, Test & Dosing & Filtration Update","Fed brine shrimp and flakes. Dosed 4 pumps NilocG Thrive Plus. Added Seachem Matrix to filter chamber","Nitrates around 5 ppm. Skipped Seachem Excel to avoid stressing sensitive plants. Matrix added to weigh down floating filter pads and expand biomedia capacity. Tank stable with strong feeding response; fertilizer dose increased due to low nitrate reading",5,,4,,"29g,feeding,testing,dosing,maintenance",assets/images/filter-chamber-update-2025-11-20-matrix.jpeg
2025-11-29,,"Maintenance, Test & Dosing",Large water change with sponge media swap; Excel + Stability; target zone now BBA-free.,Pre-water-change nitrate measured between 20–40 ppm, closer to 20. Removed the poly-fil from the refugium chamber and added a piece of coarse sponge media to the return pump chamber to help reduce byproducts entering the pump area. Performed ~75% display and ~90% sump water change. Dosed a general cap of Seachem Excel and completed the final spot dose on the area targeted all week — now fully BBA-free. Only small isolated spots remain elsewhere in the tank. Added Stability to help seed beneficial bacteria onto the new filter media.,20–40 (≈20),Excel (1 cap + final spot) + Stability,,~75% display / ~90% sump,"29g,maintenance,testing,dosing",
2025-12-08,,Maintenance & Feeding Recap,Post-December 7 water change check-in; fed flakes and bloodworms; Excel maintenance dose,Nitrate measured around 5–10 ppm; fish active and plants showing new growth after trimming,5–10,Seachem Excel (1 capful),,,"29g,maintenance,feeding,testing,recap",
