species_a_id,species_b_id,species_a,species_b,reason,reason_frequency
harlequin,tiger_barb,Harlequin Rasbora,Tiger Barb,Harlequin Rasbora ↔ Tiger Barb: aggression gap,1
neon,amano,Neon Tetra,Amano Shrimp,Neon Tetra ↔ Amano Shrimp: shrimp predation risk,1
neon,neocaridina,Neon Tetra,Cherry Shrimp,Neon Tetra ↔ Cherry Shrimp: shrimp predation risk,1
neon,tiger_barb,Neon Tetra,Tiger Barb,Neon Tetra ↔ Tiger Barb: aggression gap,1
pgourami,amano,Pearl Gourami,Amano Shrimp,Pearl Gourami ↔ Amano Shrimp: shrimp predation risk,1
pgourami,neocaridina,Pearl Gourami,Cherry Shrimp,Pearl Gourami ↔ Cherry Shrimp: shrimp predation risk,1
pgourami,zebra,Pearl Gourami,Zebra Danio,Pearl Gourami ↔ Zebra Danio: temperature mismatch,1
rummynose,amano,Rummynose Tetra,Amano Shrimp,Rummynose Tetra ↔ Amano Shrimp: shrimp predation risk,1
rummynose,neocaridina,Rummynose Tetra,Cherry Shrimp,Rummynose Tetra ↔ Cherry Shrimp: shrimp predation risk,1
rummynose,tiger_barb,Rummynose Tetra,Tiger Barb,Rummynose Tetra ↔ Tiger Barb: aggression gap,1
tiger_barb,amano,Tiger Barb,Amano Shrimp,Tiger Barb ↔ Amano Shrimp: aggression gap,1
tiger_barb,amano,Tiger Barb,Amano Shrimp,Tiger Barb ↔ Amano Shrimp: shrimp predation risk,1
tiger_barb,cory_bronze,Tiger Barb,Bronze Corydoras,Tiger Barb ↔ Bronze Corydoras: aggression gap,1
tiger_barb,neocaridina,Tiger Barb,Cherry Shrimp,Tiger Barb ↔ Cherry Shrimp: aggression gap,1
tiger_barb,neocaridina,Tiger Barb,Cherry Shrimp,Tiger Barb ↔ Cherry Shrimp: shrimp predation risk,1
tiger_barb,kuhli,Tiger Barb,Kuhli Loach,Tiger Barb ↔ Kuhli Loach: aggression gap,1
tiger_barb,nerite,Tiger Barb,Nerite Snail,Tiger Barb ↔ Nerite Snail: aggression gap,1
tiger_barb,otocinclus,Tiger Barb,Otocinclus (Oto Cat),Tiger Barb ↔ Otocinclus (Oto Cat): aggression gap,1
tiger_barb,cory_panda,Tiger Barb,Panda Corydoras,Tiger Barb ↔ Panda Corydoras: aggression gap,1
zebra,amano,Zebra Danio,Amano Shrimp,Zebra Danio ↔ Amano Shrimp: shrimp predation risk,1
zebra,neocaridina,Zebra Danio,Cherry Shrimp,Zebra Danio ↔ Cherry Shrimp: shrimp predation risk,1
