page_path,file,term,status,context_excerpt,recommended_icon_location,tooltip,intent
/params.html,params.html,Nitrogen Cycle,present,Nitrogen cycle tool,div#cycling-coach > section#cc-title > div.cc-title__eyebrow,The nitrogen cycle converts fish waste from ammonia to nitrite to less harmful nitrate via beneficial bacteria.,Explain cycling process
/params.html,params.html,Ammonia,present,Ammonia (NH₃/NH₄⁺),div.field > div.label-row > label,Ammonia (NH3/NH4+) is toxic to fish above 0 ppm; regular testing and water changes keep it safe.,Warn about toxic ammonia
/params.html,params.html,Nitrite,present,Nitrite (NO₂⁻),div.field > div.label-row > label,Nitrite (NO2-) stresses fish and should remain at 0 ppm once the tank is cycled.,Warn about nitrite spikes
/params.html,params.html,Nitrate,present,Nitrate (NO₃⁻),div.field > div.label-row > label,Nitrate (NO3-) builds up after cycling; keep under 40 ppm with water changes or plants.,Highlight nitrate management
/params.html,params.html,Water Change,present,End product; safer but must be controlled with water changes.,div.form-grid > div.field > div#tt-nitrate,Routine partial water changes remove waste and refresh minerals to keep fish healthy.,Highlight maintenance
/params.html,params.html,Beneficial Bacteria,missing,,Add tooltip near first mention or summary of 'Beneficial Bacteria' on params.html.,"Beneficial bacteria colonies live in filters and substrate, breaking down ammonia and nitrite.",Encourage bacterial support
/params.html,params.html,General Hardness,missing,,Add tooltip near first mention or summary of 'General Hardness' on params.html.,General hardness (GH) measures dissolved minerals like calcium and magnesium that fish need.,Explain GH
/params.html,params.html,Carbonate Hardness,missing,,Add tooltip near first mention or summary of 'Carbonate Hardness' on params.html.,Carbonate hardness (KH) stabilizes pH by buffering acids; aim for a stable range for your species.,Explain KH
/params.html,params.html,pH Swing,missing,,Add tooltip near first mention or summary of 'pH Swing' on params.html.,Rapid pH swings stress fish; adjust slowly and test water before major changes.,Warn about rapid pH changes
/stocking.html,stocking.html,Bioload,present,"Plan a healthy community by checking bioload, compatibility — and get recommended water parameters for your tank.",div.wrap > div.hero-header > p.tagline.hero-tagline,Bioload is the waste load your fish produce; more fish means more filtration and maintenance.,Clarify stocking impact
/stocking.html,stocking.html,Stocking Density,missing,,Add tooltip near first mention or summary of 'Stocking Density' on stocking.html.,"Stocking density balances fish size, behavior, and filtration so the tank is not overcrowded.",Prevent overstocking
/stocking.html,stocking.html,Quarantine Tank,missing,,Add tooltip near first mention or summary of 'Quarantine Tank' on stocking.html.,A quarantine tank lets you observe new fish for illness before adding them to your display tank.,Promote isolation before stocking
/stocking.html,stocking.html,Drip Acclimation,missing,,Add tooltip near first mention or summary of 'Drip Acclimation' on stocking.html.,Drip acclimation slowly matches bag water to tank water to reduce shock when adding fish.,Advocate gentle acclimation
/store.html,store.html,Nitrogen Cycle,present,"of Aquariums is a beginner-friendly aquarium book that explains the nitrogen cycle and the science of fishkeeping. Learn how clean water, beneficial",article.product > div.details > p.desc,The nitrogen cycle converts fish waste from ammonia to nitrite to less harmful nitrate via beneficial bacteria.,Explain cycling process
/store.html,store.html,Beneficial Bacteria,present,"beginner-friendly aquarium book that explains the nitrogen cycle and the science of fishkeeping. Learn how clean water, beneficial bacteria, and balance keep tropical fish, plants, and shrimp healthy in any freshwater tank. Perfect for kids, families, classro",article.product > div.details > p.desc,"Beneficial bacteria colonies live in filters and substrate, breaking down ammonia and nitrite.",Encourage bacterial support
